CAPEX(CHF),CO2 Emissions(tons)
 358446.84,7927.39
 412470.93,7500.00
 424897.65,7000.00
 439020.38,6500.00
 457404.00,6000.00
 481112.44,5500.00
 504820.89,5000.00
 528529.33,4500.00
 552237.77,4000.00
 575946.21,3500.00
 599654.65,3000.00
 656515.47,2500.00
 714886.25,2000.00

