Boiler 0 3.714320892586427 2.1007828411073457 0 0 12.082415348160911
PV 51.614999999999995 68.43249999999999 312.94499999999994 44.01999999999999 75.09749999999998 0
SOFC 0 0 0 0 0 0
HP1stageLT 16.036423301989092 0 0 9.192604368620335 0 25
HP1stageMT 13.829268302914059 0 0 7.285029824878661 0 25
Cogen 0 0 0 0 0 0
HEDatacenter 1 1 1 1 0 1
ElecGridBuy 20.417273333149815 12.005888186918446 11.272350686918447 16.668017573312216 2.421173169725165 14.126323783384986
ElecGridSell 0 0 0 0 0 0
NatGasGrid 0 4.127023213984919 2.33420315678594 0 0 13.424905942401013
